n,lo,hi,lo_hex,hi_hex,address,solved,regime,exposed_pubkey,hashes_r1,ops_r2,years_r1,years_r2,tier,method,rank
137,87112285931760246646623899502532662132736,174224571863520493293247799005065324265471,10000000000000000000000000000000000,1ffffffffffffffffffffffffffffffffff,15nf31J46iLuK1ZkTnqHo7WgN5cARFK3RA,0,R1,0,~8.71e+40,,1.1e+24,,EXTREME,hash scan (SHA256+RIPEMD160 compare),59
138,174224571863520493293247799005065324265472,348449143727040986586495598010130648530943,20000000000000000000000000000000000,3ffffffffffffffffffffffffffffffffff,1Ab4vzG6wEQBDNQM1B2bvUz4fqXXdFk2WT,0,R1,0,~1.74e+41,,2.21e+24,,EXTREME,hash scan (SHA256+RIPEMD160 compare),60
139,348449143727040986586495598010130648530944,696898287454081973172991196020261297061887,40000000000000000000000000000000000,7ffffffffffffffffffffffffffffffffff,1Fz63c775VV9fNyj25d9Xfw3YHE6sKCxbt,0,R1,0,~3.48e+41,,4.42e+24,,EXTREME,hash scan (SHA256+RIPEMD160 compare),61
140,696898287454081973172991196020261297061888,1393796574908163946345982392040522594123775,80000000000000000000000000000000000,fffffffffffffffffffffffffffffffffff,1QKBaU6WAeycb3DbKbLBkX7vJiaS8r42Xo,0,R2,1,,2361183241434822606848,,7.01e+03,EXTREME,interval DLP: Pollard kangaroo / BSGS on exposed pubkey,1
141,1393796574908163946345982392040522594123776,2787593149816327892691964784081045188247551,100000000000000000000000000000000000,1fffffffffffffffffffffffffffffffffff,1CD91Vm97mLQvXhrnoMChhJx4TP9MaQkJo,0,R1,0,~1.39e+42,,1.77e+25,,EXTREME,hash scan (SHA256+RIPEMD160 compare),62
142,2787593149816327892691964784081045188247552,5575186299632655785383929568162090376495103,200000000000000000000000000000000000,3fffffffffffffffffffffffffffffffffff,15MnK2jXPqTMURX4xC3h4mAZxyCcaWWEDD,0,R1,0,~2.79e+42,,3.53e+25,,EXTREME,hash scan (SHA256+RIPEMD160 compare),63
143,5575186299632655785383929568162090376495104,11150372599265311570767859136324180752990207,400000000000000000000000000000000000,7fffffffffffffffffffffffffffffffffff,13N66gCzWWHEZBxhVxG18P8wyjEWF9Yoi1,0,R1,0,~5.58e+42,,7.07e+25,,EXTREME,hash scan (SHA256+RIPEMD160 compare),64
144,11150372599265311570767859136324180752990208,22300745198530623141535718272648361505980415,800000000000000000000000000000000000,ffffffffffffffffffffffffffffffffffff,1NevxKDYuDcCh1ZMMi6ftmWwGrZKC6j7Ux,0,R1,0,~1.12e+43,,1.41e+26,,EXTREME,hash scan (SHA256+RIPEMD160 compare),65
145,22300745198530623141535718272648361505980416,44601490397061246283071436545296723011960831,1000000000000000000000000000000000000,1ffffffffffffffffffffffffffffffffffff,19GpszRNUej5yYqxXoLnbZWKew3KdVLkXg,0,R2,1,,18889465931478580854784,,5.61e+04,EXTREME,interval DLP: Pollard kangaroo / BSGS on exposed pubkey,4
146,44601490397061246283071436545296723011960832,89202980794122492566142873090593446023921663,2000000000000000000000000000000000000,3ffffffffffffffffffffffffffffffffffff,1M7ipcdYHey2Y5RZM34MBbpugghmjaV89P,0,R1,0,~4.46e+43,,5.65e+26,,EXTREME,hash scan (SHA256+RIPEMD160 compare),66
147,89202980794122492566142873090593446023921664,178405961588244985132285746181186892047843327,4000000000000000000000000000000000000,7ffffffffffffffffffffffffffffffffffff,18aNhurEAJsw6BAgtANpexk5ob1aGTwSeL,0,R1,0,~8.92e+43,,1.13e+27,,EXTREME,hash scan (SHA256+RIPEMD160 compare),67
148,178405961588244985132285746181186892047843328,356811923176489970264571492362373784095686655,8000000000000000000000000000000000000,fffffffffffffffffffffffffffffffffffff,1FwZXt6EpRT7Fkndzv6K4b4DFoT4trbMrV,0,R1,0,~1.78e+44,,2.26e+27,,EXTREME,hash scan (SHA256+RIPEMD160 compare),68
149,356811923176489970264571492362373784095686656,713623846352979940529142984724747568191373311,10000000000000000000000000000000000000,1fffffffffffffffffffffffffffffffffffff,1CXvTzR6qv8wJ7eprzUKeWxyGcHwDYP1i2,0,R1,0,~3.57e+44,,4.52e+27,,EXTREME,hash scan (SHA256+RIPEMD160 compare),69
150,713623846352979940529142984724747568191373312,1427247692705959881058285969449495136382746623,20000000000000000000000000000000000000,3fffffffffffffffffffffffffffffffffffff,1MUJSJYtGPVGkBCTqGspnxyHahpt5Te8jy,0,R2,1,,75557863725914323419136,,2.24e+05,EXTREME,interval DLP: Pollard kangaroo / BSGS on exposed pubkey,7
151,1427247692705959881058285969449495136382746624,2854495385411919762116571938898990272765493247,40000000000000000000000000000000000000,7fffffffffffffffffffffffffffffffffffff,13Q84TNNvgcL3HJiqQPvyBb9m4hxjS3jkV,0,R1,0,~1.43e+45,,1.81e+28,,EXTREME,hash scan (SHA256+RIPEMD160 compare),70
152,2854495385411919762116571938898990272765493248,5708990770823839524233143877797980545530986495,80000000000000000000000000000000000000,ffffffffffffffffffffffffffffffffffffff,1LuUHyrQr8PKSvbcY1v1PiuGuqFjWpDumN,0,R1,0,~2.85e+45,,3.62e+28,,EXTREME,hash scan (SHA256+RIPEMD160 compare),71
153,5708990770823839524233143877797980545530986496,11417981541647679048466287755595961091061972991,100000000000000000000000000000000000000,1ffffffffffffffffffffffffffffffffffffff,18192XpzzdDi2K11QVHR7td2HcPS6Qs5vg,0,R1,0,~5.71e+45,,7.24e+28,,EXTREME,hash scan (SHA256+RIPEMD160 compare),72
154,11417981541647679048466287755595961091061972992,22835963083295358096932575511191922182123945983,200000000000000000000000000000000000000,3ffffffffffffffffffffffffffffffffffffff,1NgVmsCCJaKLzGyKLFJfVequnFW9ZvnMLN,0,R1,0,~1.14e+46,,1.45e+29,,EXTREME,hash scan (SHA256+RIPEMD160 compare),73
155,22835963083295358096932575511191922182123945984,45671926166590716193865151022383844364247891967,400000000000000000000000000000000000000,7ffffffffffffffffffffffffffffffffffffff,1AoeP37TmHdFh8uN72fu9AqgtLrUwcv2wJ,0,R2,1,,604462909807314587353088,,1.8e+06,EXTREME,interval DLP: Pollard kangaroo / BSGS on exposed pubkey,10
156,45671926166590716193865151022383844364247891968,91343852333181432387730302044767688728495783935,800000000000000000000000000000000000000,fffffffffffffffffffffffffffffffffffffff,1FTpAbQa4h8trvhQXjXnmNhqdiGBd1oraE,0,R1,0,~4.57e+46,,5.79e+29,,EXTREME,hash scan (SHA256+RIPEMD160 compare),74
157,91343852333181432387730302044767688728495783936,182687704666362864775460604089535377456991567871,1000000000000000000000000000000000000000,1fffffffffffffffffffffffffffffffffffffff,14JHoRAdmJg3XR4RjMDh6Wed6ft6hzbQe9,0,R1,0,~9.13e+46,,1.16e+30,,EXTREME,hash scan (SHA256+RIPEMD160 compare),75
158,182687704666362864775460604089535377456991567872,365375409332725729550921208179070754913983135743,2000000000000000000000000000000000000000,3fffffffffffffffffffffffffffffffffffffff,19z6waranEf8CcP8FqNgdwUe1QRxvUNKBG,0,R1,0,~1.83e+47,,2.32e+30,,EXTREME,hash scan (SHA256+RIPEMD160 compare),76
159,365375409332725729550921208179070754913983135744,730750818665451459101842416358141509827966271487,4000000000000000000000000000000000000000,7fffffffffffffffffffffffffffffffffffffff,14u4nA5sugaswb6SZgn5av2vuChdMnD9E5,0,R1,0,~3.65e+47,,4.63e+30,,EXTREME,hash scan (SHA256+RIPEMD160 compare),77
160,730750818665451459101842416358141509827966271488,1461501637330902918203684832716283019655932542975,8000000000000000000000000000000000000000,ffffffffffffffffffffffffffffffffffffffff,1NBC8uXJy1GiJ6drkiZa1WuKn51ps7EPTv,0,R2,1,,2417851639229258349412352,,7.18e+06,EXTREME,interval DLP: Pollard kangaroo / BSGS on exposed pubkey,13
